,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Atambua,ID,80.1,broken clouds,-9.1061,124.8925,Ros Muskanan
597,Honavar,IN,83.21,scattered clouds,14.2833,74.45,Hotel Sagar Residency
601,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
608,Salinopolis,BR,78.1,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
610,Bagamoyo,TZ,82.38,clear sky,-6.4333,38.9,Be Swahilid B and B
611,The Valley,AI,82.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
613,Djibo,BF,86.07,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
616,Batangafo,CF,80.37,overcast clouds,7.3008,18.2833,OCHA Office
617,Dong Hoi,VN,81.41,scattered clouds,17.4833,106.6,Nam Long Hotel
618,Rockport,US,78.01,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
620,Beinamar,TD,83.25,overcast clouds,8.6698,15.3813,
625,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
632,Gondomar,PT,76.21,clear sky,41.1445,-8.5322,Pestana Palácio do Freixo
633,Buchanan,LR,76.86,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
635,Tabuk,PH,81.14,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
636,Marsh Harbour,BS,79.68,clear sky,26.5412,-77.0636,Abaco Beach Resort
638,Faya,SA,77.11,scattered clouds,18.3851,42.4509,شيلة نسايم
639,Lata,PT,77.49,clear sky,40.1629,-8.3327,Casa Maquia
642,Banjar,ID,81.46,moderate rain,-8.19,114.9675,The Hamsa Resort
643,Acapulco,MX,76.64,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
646,Sampit,ID,83.89,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
648,Acarau,BR,76.77,clear sky,-2.8856,-40.12,castelo pizzaria
652,Ambulu,ID,80.83,light rain,-8.345,113.6058,Hotel Ambulu Jember
657,Tautira,PF,77.32,light rain,-17.7333,-149.15,Pension Oaoa
658,Tuy Hoa,VN,82.06,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
668,Ahuimanu,US,78.51,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
677,Honiara,SB,79.41,scattered clouds,-9.4333,159.95,Heritage Park Hotel
683,Matara,LK,80.8,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
686,Kampene,CD,78.53,light rain,-3.6,26.6667,
697,San Policarpo,PH,82.71,overcast clouds,12.1791,125.5072,Agapita M. Nicart
699,Ishigaki,JP,84.33,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
701,Bardiyah,LY,79.63,clear sky,31.7561,25.0865,بورتو بردية
702,Eyl,SO,88.68,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
703,Kupang,ID,79.38,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
